id,fiscal_id,insert_date,cheque_date,store_name,buy_amount,cash_amount,cashless_amount,vat_amount,refund_amount,state,channel_type,cheque_status_message,with_card,card_cashback_amount
1952516686,EvGY5UvSSfS9,2025-08-27T15:22:15Z,2025-08-27T14:40:29Z,ARAZ MARKET,1.45,0.00,1.45,0.14,0.02,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1950420856,EddUKpbTtKnJ,2025-08-25T19:09:41Z,2025-08-25T18:58:42Z,AXUNDOV BRAVO,7.98,0.00,7.98,1.10,0.19,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1948586535,B4fL8Yo28cBR,2025-08-24T06:48:56Z,2025-08-24T06:33:26Z,ARAZ MARKET,10.37,0.00,10.37,1.06,0.19,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1947028618,5ngthq8Tariv,2025-08-22T20:55:28Z,2025-08-22T20:54:54Z,NEPTUN SUPERMARKET,9.98,0.00,9.98,1.52,0.27,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1945716134,EejcAnqfbxA7,2025-08-21T19:35:27Z,2025-08-21T19:23:24Z,AXUNDOV BRAVO,7.02,0.00,7.02,0.90,0.16,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1944272691,B7jvonfCKgcF,2025-08-20T15:30:39Z,2025-08-20T15:26:03Z,ARAZ MARKET,6.33,0.00,6.33,0.85,0.15,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1942180067,72kbDinSyW3o,2025-08-18T19:10:24Z,2025-08-18T18:28:33Z,BAZARSTORE (AXUNDOV BAĞI),6.98,0.00,6.98,0.87,0.15,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1940875396,5Hg35QJpcPd1,2025-08-17T17:08:57Z,2025-08-17T16:46:16Z,AXUNDOV BRAVO,8.65,0.00,8.65,1.20,0.21,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1940190712,9FH1QTbDy7pM,2025-08-17T00:23:24Z,2025-08-17T00:17:45Z,ARAZ MARKET,9.55,0.00,9.55,1.31,0.23,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1939550895,26jrRz4FcVMB,2025-08-16T15:42:51Z,2025-08-16T14:54:01Z,AXUNDOV BRAVO,5.91,0.00,5.91,0.10,0.02,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1939550638,3SHz3LjjcZ2d,2025-08-16T15:42:37Z,2025-08-14T20:26:11Z,ARAZ MARKET,5.41,0.00,5.41,0.03,0.01,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1926688892,BhYEXLksjhhr,2025-08-05T20:37:21Z,2025-08-05T20:28:54Z,ARAZ MARKET,3.58,0.00,3.58,0.45,0.08,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1924061317,C2wSxWa3DXym,2025-08-03T16:46:04Z,2025-08-03T16:35:23Z,AXUNDOV BRAVO,19.42,0.00,2.94,2.96,0.08,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1923046793,Gmx13yyqEUSX,2025-08-02T19:50:34Z,2025-08-02T19:38:43Z,ARAZ MARKET,4.00,0.00,4.00,0.47,0.08,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1922820602,9tBHfHgyXF2n,2025-08-02T16:31:03Z,2025-08-02T16:25:48Z,OPTİKA,23.60,0.00,23.60,3.60,0.63,COMPLETED,YELOBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1921755657,DXvx6ZpatL2w,2025-08-01T18:56:35Z,2025-08-01T17:45:38Z,ARAZ MARKET,3.75,0.00,3.75,0.43,0.08,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1907982122,4b1QGZ2XW2xb,2025-07-21T00:38:26Z,2025-07-21T00:37:58Z,ARAZ MARKET,2.89,0.00,2.89,0.44,0.08,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1907432991,51uY6KLgYjpp,2025-07-20T16:20:43Z,2025-07-20T16:14:41Z,ARAZ MARKET,4.43,0.00,4.43,0.56,0.10,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1906256898,D4AhSFJ6qDtp,2025-07-19T16:34:15Z,2025-07-19T16:29:08Z,ARAZ MARKET,3.03,0.00,3.03,0.46,0.08,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1899982299,HAGGNXxULioX,2025-07-14T00:25:57Z,2025-07-14T00:08:17Z,ARAZ MARKET,6.39,0.00,6.39,0.82,0.14,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1897909389,nJTt1Wbq47oY,2025-07-12T10:49:59Z,2025-07-12T10:49:04Z,ARAZ MARKET,10.18,0.00,10.18,1.55,0.27,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1897590459,CyN8Z9FDxUMn,2025-07-11T23:16:34Z,2025-07-11T23:11:10Z,ARAZ MARKET,5.85,0.00,5.85,0.89,0.16,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1893957831,2T8rx3K2aSor,2025-07-08T20:25:52Z,2025-07-08T20:21:35Z,ARAZ MARKET,18.37,0.00,18.37,2.80,0.49,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
